LGBM Params || Macro F1 | Recall C0 | Recall C1 | Recall C2
------------------------------------------------------------------------------------------
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.440 | Rec0: 0.382 | Rec1: 0.352 | Rec2: 0.892
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.441 | Rec0: 0.384 | Rec1: 0.353 | Rec2: 0.892
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.441 | Rec0: 0.384 | Rec1: 0.353 | Rec2: 0.892
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.420 | Rec0: 0.329 | Rec1: 0.396 | Rec2: 0.871
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.420 | Rec0: 0.329 | Rec1: 0.396 | Rec2: 0.871
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.434 | Rec0: 0.357 | Rec1: 0.377 | Rec2: 0.883
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.434 | Rec0: 0.357 | Rec1: 0.377 | Rec2: 0.883
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.436 | Rec0: 0.370 | Rec1: 0.369 | Rec2: 0.885
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.436 | Rec0: 0.370 | Rec1: 0.369 | Rec2: 0.885
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.445 | Rec0: 0.396 | Rec1: 0.349 | Rec2: 0.881
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.445 | Rec0: 0.396 | Rec1: 0.349 | Rec2: 0.881
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.445 | Rec0: 0.387 | Rec1: 0.367 | Rec2: 0.883
